domainc,domain,areac,area,elemc,elem,itemc,item,yearc,year,unit,value,Flag,Flagd
QC,Crops,28,Myanmar,5419,Yield,27,"Rice, paddy",1986,1986,hg/ha,30279,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,27,"Rice, paddy",1986,1986,tonnes,14127100,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,27,"Rice, paddy",1987,1987,ha,4482800,,Official data
QC,Crops,28,Myanmar,5419,Yield,27,"Rice, paddy",1987,1987,hg/ha,30424,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,27,"Rice, paddy",1987,1987,tonnes,13638400,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,27,"Rice, paddy",1988,1988,ha,4527300,,Official data
QC,Crops,28,Myanmar,5419,Yield,27,"Rice, paddy",1988,1988,hg/ha,29084,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,27,"Rice, paddy",1988,1988,tonnes,13167100,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,27,"Rice, paddy",1989,1989,ha,4732400,,Official data
QC,Crops,28,Myanmar,5419,Yield,27,"Rice, paddy",1989,1989,hg/ha,29174,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,27,"Rice, paddy",1989,1989,tonnes,13806500,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,27,"Rice, paddy",1990,1990,ha,4760000,,Official data
QC,Crops,28,Myanmar,5419,Yield,27,"Rice, paddy",1990,1990,hg/ha,29353,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,27,"Rice, paddy",1990,1990,tonnes,13971800,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,27,"Rice, paddy",1991,1991,ha,4574975,,Official data
QC,Crops,28,Myanmar,5419,Yield,27,"Rice, paddy",1991,1991,hg/ha,28400,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,27,"Rice, paddy",1991,1991,tonnes,12992900,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,27,"Rice, paddy",1992,1992,ha,5056147,,Official data
QC,Crops,28,Myanmar,5419,Yield,27,"Rice, paddy",1992,1992,hg/ha,28882,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,27,"Rice, paddy",1992,1992,tonnes,14603000,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,27,"Rice, paddy",1993,1993,ha,5486733,,Official data
QC,Crops,28,Myanmar,5419,Yield,27,"Rice, paddy",1993,1993,hg/ha,30063,Fc,Calculated data
